Period,Year,Month,Source File,Calendar Days,Observed Days,Missing Full Days,Missing Full Day List,Min Present Hours,Median Present Hours,Median First Hour,Median Last Hour,Raw Hourly Ridership,Imputed Hourly Ridership,Imputed Ridership Added,Workbook Ridership,Canonical Hourly Ridership,Workbook Difference,Workbook Difference Pct,Quality Flag
2018-01,2018,1,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2018.csv,31,31,0,,20,23.0,0.0,23.0,9785965.0,9785965.0,0.0,,9785965.0,,,clean_or_minor_difference
2018-02,2018,2,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2018.csv,28,28,0,,19,23.0,0.0,23.0,9262187.0,9262187.0,0.0,9189913.0,9262187.0,72274.0,0.007864492297152324,clean_or_minor_difference
2018-03,2018,3,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2018.csv,31,31,0,,20,23.0,0.0,23.0,10364615.0,10364615.0,0.0,10278960.0,10364615.0,85655.0,0.008333041475013037,clean_or_minor_difference
2018-04,2018,4,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2018.csv,30,30,0,,21,23.0,0.0,23.0,10049472.0,10049472.0,0.0,9950264.0,10049472.0,99208.0,0.009970388725364474,clean_or_minor_difference
2018-05,2018,5,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2018.csv,31,31,0,,22,23.0,0.0,23.0,10595609.0,10595609.0,0.0,10486845.0,10595609.0,108764.0,0.010371470160949265,clean_or_minor_difference
2018-06,2018,6,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2018.csv,30,30,0,,21,23.0,0.0,23.0,10432529.0,10432529.0,0.0,10331906.0,10432529.0,100623.0,0.009739054923651068,clean_or_minor_difference
2018-07,2018,7,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2018.csv,31,31,0,,20,23.0,0.0,23.0,10225339.0,10225339.0,0.0,10122862.0,10225339.0,102477.0,0.010123322831033357,clean_or_minor_difference
2018-08,2018,8,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2018.csv,31,31,0,,21,23.0,0.0,23.0,10728463.0,10728463.0,0.0,10639593.0,10728463.0,88870.0,0.008352763117912498,clean_or_minor_difference
2018-09,2018,9,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2018.csv,30,30,0,,22,24.0,0.0,23.0,9895337.0,9895337.0,0.0,9800616.0,9895337.0,94721.0,0.00966480066150944,clean_or_minor_difference
2018-10,2018,10,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2018.csv,31,31,0,,19,23.0,0.0,23.0,11081974.0,11081974.0,0.0,10978799.0,11081974.0,103175.0,0.009397658159148373,clean_or_minor_difference
2018-11,2018,11,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2018.csv,30,30,0,,21,23.0,0.0,23.0,9233313.0,9233313.0,0.0,9147871.0,9233313.0,85442.0,0.009340096728517489,clean_or_minor_difference
2018-12,2018,12,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2018.csv,31,31,0,,20,23.0,0.0,23.0,8839457.0,8839457.0,0.0,8768821.0,8839457.0,70636.0,0.0080553588675148,clean_or_minor_difference
2019-01,2019,1,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2019.csv,31,31,0,,20,23.0,0.0,23.0,9644792.0,9644792.0,0.0,9540752.0,9644792.0,104040.0,0.010904800795576701,clean_or_minor_difference
2019-02,2019,2,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2019.csv,28,28,0,,21,23.0,0.0,23.0,9006216.0,9006216.0,0.0,8926329.0,9006216.0,79887.0,0.008949591707856612,clean_or_minor_difference
2019-03,2019,3,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2019.csv,31,31,0,,19,23.0,0.0,23.0,9991747.0,9991747.0,0.0,9900598.0,9991747.0,91149.0,0.009206413592391086,clean_or_minor_difference
2019-04,2019,4,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2019.csv,30,30,0,,22,23.0,0.0,23.0,10312623.0,10312623.0,0.0,10217568.0,10312623.0,95055.0,0.009303094434996665,clean_or_minor_difference
2019-05,2019,5,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2019.csv,31,31,0,,22,23.0,0.0,23.0,10326834.0,10326834.0,0.0,10228712.0,10326834.0,98122.0,0.009592801126867195,clean_or_minor_difference
2019-06,2019,6,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2019.csv,30,30,0,,22,23.0,0.0,23.0,9932642.0,9932642.0,0.0,9831320.0,9932642.0,101322.0,0.010306042321885566,clean_or_minor_difference
2019-07,2019,7,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2019.csv,31,31,0,,20,23.0,0.0,23.0,10134097.0,10134097.0,0.0,10037437.0,10134097.0,96660.0,0.009629948362315998,clean_or_minor_difference
2019-08,2019,8,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2019.csv,31,31,0,,21,23.0,0.0,23.0,10424866.0,10424866.0,0.0,10329856.0,10424866.0,95010.0,0.009197611273574385,clean_or_minor_difference
2019-09,2019,9,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2019.csv,30,30,0,,21,23.0,0.0,23.0,10015058.0,10015058.0,0.0,9919570.0,10015058.0,95488.0,0.009626223717358716,clean_or_minor_difference
2019-10,2019,10,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2019.csv,31,31,0,,21,23.0,0.0,23.0,10786560.0,10786560.0,0.0,10680506.0,10786560.0,106054.0,0.009929679361633241,clean_or_minor_difference
2019-11,2019,11,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2019.csv,30,30,0,,21,23.0,0.0,23.0,9218525.0,9218525.0,0.0,9127400.0,9218525.0,91125.0,0.009983675526436883,clean_or_minor_difference
2019-12,2019,12,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2019.csv,31,31,0,,21,24.0,0.0,23.0,8815645.0,8815645.0,0.0,8741778.0,8815645.0,73867.0,0.00844988284991909,clean_or_minor_difference
2020-01,2020,1,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2020.csv,31,30,1,2020-01-21,21,23.0,0.0,23.0,9047397.0,9462432.92857143,415035.9285714291,9358806.0,9462432.92857143,103626.9285714291,0.011072665527144072,missing_full_days_imputed
2020-02,2020,2,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2020.csv,29,27,2,"2020-02-19, 2020-02-24",21,23.0,0.0,23.0,8244817.0,8983671.94484127,738854.9448412694,8976810.0,8983671.94484127,6861.944841269404,0.000764407940155735,missing_full_days_imputed
2020-03,2020,3,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2020.csv,31,31,0,,20,23.0,0.0,23.0,4147783.0,4147783.0,0.0,4089796.0,4147783.0,57987.0,0.014178457800829186,clean_or_minor_difference
2020-04,2020,4,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2020.csv,30,29,1,2020-04-28,18,21.0,1.0,23.0,622953.0,648359.5365079365,25406.536507936544,631371.0,648359.5365079365,16988.536507936544,0.026907375390913653,missing_full_days_imputed
2020-05,2020,5,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2020.csv,31,31,0,,17,20.0,3.0,23.0,752902.0,752902.0,0.0,736590.0,752902.0,16312.0,0.022145291138896808,clean_or_minor_difference
2020-06,2020,6,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2020.csv,30,30,0,,18,21.0,1.0,23.0,1074640.0,1074640.0,0.0,1049729.0,1074640.0,24911.0,0.02373088673362363,clean_or_minor_difference
2020-07,2020,7,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2020.csv,31,31,0,,18,21.0,1.0,23.0,1221838.0,1221838.0,0.0,1193988.0,1221838.0,27850.0,0.023325192547998808,clean_or_minor_difference
2020-08,2020,8,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2020.csv,31,31,0,,17,21.0,2.0,23.0,1195699.0,1195699.0,0.0,1169259.0,1195699.0,26440.0,0.022612611919172743,clean_or_minor_difference
2020-09,2020,9,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2020.csv,30,30,0,,18,21.5,1.0,23.0,1244202.0,1244202.0,0.0,1216972.0,1244202.0,27230.0,0.022375206660465483,clean_or_minor_difference
2020-10,2020,10,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2020.csv,31,31,0,,18,21.0,3.0,23.0,1428414.0,1428414.0,0.0,1400213.0,1428414.0,28201.0,0.020140507194262587,clean_or_minor_difference
2020-11,2020,11,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2020.csv,30,30,0,,18,21.0,3.0,23.0,1276647.0,1276647.0,0.0,1251984.0,1276647.0,24663.0,0.019699133535252846,clean_or_minor_difference
2020-12,2020,12,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2020.csv,31,31,0,,19,21.0,1.0,23.0,1168987.0,1168987.0,0.0,1144927.0,1168987.0,24060.0,0.021014440221953014,clean_or_minor_difference
2021-01,2021,1,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2021.csv,31,31,0,,18,20.0,0.0,23.0,1069678.0,1069678.0,0.0,1047040.0,1069678.0,22638.0,0.021620950488997554,clean_or_minor_difference
2021-02,2021,2,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2021.csv,28,28,0,,18,21.0,2.0,23.0,1140865.0,1140865.0,0.0,1116617.0,1140865.0,24248.0,0.021715592723377846,clean_or_minor_difference
2021-03,2021,3,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2021.csv,31,31,0,,18,21.0,3.0,23.0,1425588.0,1425588.0,0.0,1397390.0,1425588.0,28198.0,0.020179048082496653,clean_or_minor_difference
2021-04,2021,4,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2021.csv,30,30,0,,18,21.0,3.0,23.0,1534665.0,1534665.0,0.0,1507948.0,1534665.0,26717.0,0.017717454448031366,clean_or_minor_difference
2021-05,2021,5,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2021.csv,31,31,0,,18,20.0,2.0,23.0,1707831.0,1707831.0,0.0,1679376.0,1707831.0,28455.0,0.01694379340898048,clean_or_minor_difference
2021-06,2021,6,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2021.csv,30,30,0,,18,21.0,3.0,23.0,2038091.0,2038091.0,0.0,2006604.0,2038091.0,31487.0,0.015691686052654134,clean_or_minor_difference
2021-07,2021,7,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2021.csv,31,31,0,,18,21.0,1.0,23.0,2289408.0,2289408.0,0.0,2251727.0,2289408.0,37681.0,0.016734266631789733,clean_or_minor_difference
2021-08,2021,8,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2021.csv,31,31,0,,21,23.0,0.0,23.0,2524267.0,2524267.0,0.0,2487088.0,2524267.0,37179.0,0.014948807601500228,clean_or_minor_difference
2021-09,2021,9,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2021.csv,30,30,0,,18,23.0,0.0,23.0,2787280.0,2787280.0,0.0,2751934.0,2787280.0,35346.0,0.012844058033368532,clean_or_minor_difference
2021-10,2021,10,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2021.csv,31,31,0,,21,23.0,0.0,23.0,2912064.0,2912064.0,0.0,2874108.0,2912064.0,37956.0,0.013206184318752114,clean_or_minor_difference
2021-11,2021,11,C:\Users\Carl Wheezer\Documents\git-test\bart-ridership-dash\data\raw\Hourly_OD\date-hour-soo-dest-2021.csv,30,30,0,,20,23.0,0.0,23.0,2832666.0,2832666.0,0.0,2797609.0,2832666.0,35057.0,0.012531057771118122,clean_or_minor_difference
